,time,lng,lat,elev,dist_cum,kmph,rouad_grad_deg_f
236,2082.4359355792417,3.35333,48.2453,125.03,75530.03473773948,0.0,2.2752916828316607
237,2094.3284287516462,3.35468,48.2449,129.15,75639.52765916959,0.0,2.154909138333814
238,2106.220921924051,3.3558,48.24457,132.45,75730.27894973404,0.0,2.0825356898687266
239,2118.1134150964554,3.35725,48.24414,137.61,75847.93055786508,0.0,2.5112863474582863
240,2130.00590826886,3.35821,48.24385,140.11,75926.0316308254,0.0,1.8334006313759241
241,2141.8984014412645,3.35927,48.24354,143.8,76011.84116187965,0.0,2.4623284698541763
242,2153.790894613669,3.36031,48.24323,143.96,76096.2179535005,0.0,0.10864733723694232
243,2165.6833877860736,3.36674,48.24093,168.06,76637.257724165,0.0,2.5504892383721094
244,2177.575880958478,3.3704,48.23939,187.14,76958.43434552242,0.0,3.3997498387961063
245,2189.4683741308827,3.37144,48.23896,191.08,77049.17501008401,0.0,2.4862465366207176
246,2201.3608673032873,3.37511,48.23742,202.7,77370.62966921832,0.0,2.0702365885330147
247,2213.253360475692,3.37661,48.23684,203.3,77499.0864101598,0.0,0.2676170783908107
248,2225.1458536480964,3.38211,48.23531,207.31,77940.54996880669,0.0,0.5204274570624497
249,2237.038346820501,3.38976,48.23459,186.45,78513.15147442628,0.0,-2.0863753116575694
250,2248.9308399929055,3.40134,48.23509,168.6,79372.80513722183,0.0,-1.1895287171267188
251,2260.82333316531,3.40334,48.23518,172.81,79521.330852314,0.0,1.6236290191474512
252,2272.7158263377146,3.40861,48.23533,177.37,79912.03100496985,0.0,0.6686889943221009
253,2284.608319510119,3.41602,48.23512,201.32,80461.86404332364,0.0,2.494151746371711
254,2296.5008126825237,3.41869,48.23501,210.15,80660.19026000859,0.0,2.5492738614998887
255,2308.3933058549283,3.42021,48.23495,213.94,80773.02934512428,0.0,1.9237075623469497
256,2320.285799027333,3.42118,48.23491,215.6,80845.02858033046,0.0,1.3207660661594578
257,2332.1782921997374,3.46525,48.23943,207.64,84147.38763021158,0.0,-0.13810537097007713
258,2344.070785372142,3.46679,48.23972,202.31,84266.02745993082,0.0,-2.572334236229413
259,2460.3240784598042,3.51897,48.24566,125.82,88186.91561892969,121.41761319184452,-1.1176035021800965
260,2526.2889750592694,3.54865,48.24597,126.38,90384.95205754034,119.95669798506908,0.014597408518572804
261,2740.944057165178,3.64449,48.25734,176.23,97592.89112111992,120.88500479147146,0.39625044645454827
262,2752.165830050942,3.64951,48.25776,180.62,97967.47902474624,120.16964402884159,0.6714497583968186
263,2759.121938095446,3.65265,48.25788,175.52,98200.37592707369,120.5313147833207,-1.2544683023306848
264,2790.3804869722217,3.6668,48.25816,196.37,99248.585254312,120.72068965624821,1.1395238120353988
265,2793.508376557005,3.66817,48.25839,203.38,99353.41674267693,120.6543095222213,3.8256288554235254
266,2797.0284720816726,3.66969,48.25871,206.06,99471.46501795705,120.7279143507134,1.300538412582489
